p_throws,stand,player_name,CH,CU,FC,FF,SI,SL,FIP_based_on_stuff,Predicted_FIP,exp_whiff_pct,exp_homerun_pct,uBB_perc,PA
R,L,Dane Dunning,37,,,27,7.000000000000001,,4.22,4.51,9.5,3.1,9.2,142
R,L,Daniel Bard,,,,85,,5,3.48,3.56,13.2,3.2,7.5,103
R,L,Daniel Hudson,,,,88,,,3.69,4.35,14.4,4.1,12,91
R,L,Daniel Mengden,,,,6,,,4.76,5.42,9.7,4.4,12.1,58
R,L,Daniel Ponce de Leon,,3,,21,,,4.99,5.89,9.2,4.7,14,143
R,L,Darren O'Day,,,,5,,,4.83,4.95,9.5,4.5,7.5,67
R,L,David Hale,21,,,35,,,4.44,4.27,9.6,3.7,5.3,75
R,L,David Phelps,88,,23,,6,,4.68,4.59,9.8,4.3,5.9,85
R,L,Dean Kremer,,17,,12,,,4.81,5.77,9.3,4.3,14.5,83
R,L,Deivi Garcia,32,,,40,,,4.1,3.8,12.3,4.1,4.1,146
R,L,Dellin Betances,,,,51,,,4.97,6.61,8.2,4.2,20.3,60
R,L,Dennis Santana,9,,,,,,3.65,3.98,11.6,2.8,9.6,73
R,L,Devin Williams,87,,,88,,,2.39,2.64,17.4,2.6,9,100
R,L,Diego Castillo,,,,,,11,3.07,3.72,13,2.2,12.4,89
R,L,Dillon Tate,,,,,60,,3.95,4.07,11.1,3.3,7.8,66
R,L,Dinelson Lamet,,,,81,67,12,3.48,3.58,14,3.5,7.5,267
R,L,Dovydas Neverauskas,,92,,45,,,3.93,4.47,11.9,3.6,11.2,89
R,L,Drew Rasmussen,,,,90,,,3.2,3.91,14.4,3.1,12.7,71
R,L,Duane Underwood Jr.,52,,,67,,,3.95,3.82,11.5,3.4,5.7,87
R,L,Dustin May,52,94,86,99,79,,3.56,3.57,10.8,2.3,7.1,225
R,L,Dylan Bundy,25,2,,11,,28.000000000000004,4.56,4.49,10.3,4.2,6,266
R,L,Dylan Cease,9,,,74,,70,3.31,4.04,14.1,3.2,12.9,255
R,L,Dylan Floro,37,,,,60,,3.46,2.99,11.4,2.4,3.1,97
R,L,Edwin Diaz,,,,99,,18,3.13,3.77,16.9,4,11.9,105
R,L,Elieser Hernandez,,,,28.999999999999996,,1,4.85,4.65,10.6,5,4.7,107
R,L,Emilio Pagan,,,78,68,,,3.86,4.3,13.1,3.9,10.3,87
R,L,Enoli Paredes,,,,85,,,2.95,3.6,15.5,3,12.2,91
R,L,Eric Yardley,,72,,,38,,5.03,5.47,8.1,4.3,10.3,97
R,L,Erick Fedde,45,15,86,,26,,3.95,4.19,9.1,2.4,9,220
R,L,Evan Marshall,61,74,,45,,,3.43,3.5,12,2.5,7.5,96
R,L,Evan Phillips,,,,45,,,4.21,4.99,10.5,3.6,13.2,68
R,L,Felix Pena,3,,,,53,,4.1,4.13,10.6,3.4,7,114
R,L,Frankie Montas,90,,,,53,11,3.83,4.17,11.3,3.1,9.7,237
R,L,Franklyn Kilome,,,,,67,,4.65,5.71,9,3.9,15.5,58
R,L,Freddy Peralta,,,,82,,,3.81,4.18,13.9,4.2,9.6,116
R,L,Garrett Richards,,,,66,53,93,3.16,3.28,12.4,2.2,8,213
R,L,Geoff Hartlieb,,,,,26,42,3.78,5.2,10.1,2.5,18.8,101
R,L,German Marquez,32,,,51,26,5,3.97,4.02,10.4,3,7.3,343
R,L,Gerrit Cole,43,,,96,,66,2.85,2.74,16.4,3.2,5.9,315
R,L,Giovanny Gallegos,,,,13,,,4.17,4.21,11.6,3.9,7,57
R,L,Greg Holland,,64,,80,,81,3.17,2.98,12.8,2.3,5.4,111
R,L,Griffin Canning,48,99,,21,,3,3.95,4.33,13.1,4.2,9.7,238
R,L,Hansel Robles,82,,,82,,,3.15,3.84,15,3.2,12.5,80
R,L,Heath Hembree,,,,56.99999999999999,,,3.44,3.7,14,3.4,8.9,90
R,L,Hector Neris,93,,,28.999999999999996,,,3.45,3.92,13.5,3.2,10.7,101
R,L,Hector Rondon,,,,53,,,3.63,3.93,12.3,3.1,9.3,95
R,L,Huascar Ynoa,,,,51,,28.000000000000004,4.39,5.05,11.5,4.4,12,99
R,L,Humberto Castellanos,,,,11,,,5.12,5.51,8.4,4.6,9.8,51
R,L,Ian Anderson,48,52,,53,,,4.06,4.48,12,3.9,10.1,137
R,L,Ian Gibaut,,,,67,,,4.22,5.27,11.8,4.1,15.3,58
R,L,Ian Kennedy,,,,56.99999999999999,,,4.11,4.01,11.9,4,5.8,68
R,L,Ivan Nova,,,,,20,,4.63,5.03,6.8,2.9,10.2,67
R,L,J.B. Wendelken,,,,59,,,3.9,4.34,11.6,3.4,10.4,115
R,L,Jack Flaherty,,23,,45,60,50,3.93,4.25,11.5,3.4,9.4,170
R,L,Jacob Barnes,,,92,53,,,3.4,3.21,14.1,3.4,5.1,78
R,L,Jacob deGrom,82,,,99,,89,2.15,2.13,18.9,2.8,6.7,269
R,L,Jacob Waguespack,52,,,59,,,4.4,4.8,10.3,3.9,10,90
R,L,Jaime Barria,3,,,27,,6,4.9,4.86,10.4,5,6.1,131
R,L,Jairo Diaz,,,,51,40,42,3.8,4.46,11.2,3,12.3,105
R,L,Jake Arrieta,32,,,,20,1,4.12,4.3,9,2.7,8.4,188
R,L,Jake Newberry,,,,44,,59,3.44,4.15,12.4,2.7,12.8,94
R,L,Jake Woodford,,28.999999999999996,,51,,,4.32,4.22,9.8,3.5,5.9,85
R,L,Jakob Junis,,,,19,,49,4.31,4.01,8.9,3.1,4.4,113
R,L,James Karinchak,,77,,85,,,3.74,4.59,12.5,3.4,13.8,109
R,L,Jared Hughes,2,,,,38,,4.41,4.91,8.2,3,11,107
R,L,Jason Adam,,,,76,,,3.5,4.36,13.9,3.5,13.8,58
R,L,Javy Guerra,,,,19,85,,4.2,4.59,9.8,3.3,10,137
R,L,Javy Guerra,,,,19,85,,4.2,4.28,9.8,3.3,7.5,137
R,L,Jeff Hoffman,40,,,45,,,4.31,4.44,10.6,3.8,7.7,103
R,L,Jeff Samardzija,2,,,,,,6.56,6.48,9,8,5.2,77
R,L,Jeremy Jeffress,52,,,,26,,3.87,4.54,10.4,2.8,12.5,87
R,L,Jesse Chavez,,,20,,26,,4.86,5.15,7.7,3.8,9.1,76
R,L,Jesse Hahn,,20,,,40,,4.32,4.97,8.7,3,12.3,65
R,L,Jeurys Familia,76,,,,70,,3.42,4.28,11.1,2.2,14.2,118
R,L,Jimmy Cordero,17,,,,40,,3.87,3.7,9.6,2.5,5.6,122
R,L,Jimmy Herget,,,,13,,,4.65,5.64,9.8,4.2,14.9,83
R,L,Joakim Soria,,,,9,,,4.48,4.57,10.7,4.2,7.3,97
R,L,Joe Jimenez,,,,17,,,4.45,4.38,11.9,4.7,5.9,97
R,L,Joe Musgrove,45,52,,44,13,81,3.82,4.15,10.6,2.8,9.6,167
R,L,Joey Gerber,,,,,85,,4.65,4.84,10.8,4.6,8.1,62
R,L,Johan Oviedo,,,,74,,35,4,4.24,10.2,3,8.9,112
R,L,John Curtiss,,,,45,,15,4.21,3.77,11.5,4,3,88
R,L,John Schreiber,,,,34,,,4.79,4.51,8.6,4,4.3,69
R,L,Johnny Cueto,19,86,,21,,8,4.14,4.46,11.1,3.7,9.4,276
R,L,Jon Gray,2,,,35,,35,4.29,4.24,10.6,3.8,6.3,174
R,L,Jonathan Hernandez,25,,,,53,26,3.31,3.25,12.6,2.5,6.4,118
R,L,Jonathan Holder,68,,,59,,,3.81,4.18,11.6,3.2,9.9,100
R,L,Jonathan Loaisiga,25,,,85,,,3.57,3.47,12.4,3,6,99
R,L,Jordan Lyles,15,45,,28.999999999999996,,,4.5,4.73,10.2,4,8.6,268
R,L,Jordan Romano,,,,93,,62,2.85,3.09,16,3,8.8,51
R,L,Jordan Weems,,,,53,,,3.8,4.45,12.6,3.6,12.1,58
R,L,Jorge Alcala,,,,67,,0,3.73,3.95,13.5,3.8,8.5,94
R,L,Jorge Lopez,52,,,45,40,,4.35,4.29,9.4,3.4,6.3,175
R,L,Jose Berrios,11,4,,40,53,,4.18,4.53,10.8,3.6,9.6,272
R,L,Jose Cisnero,68,,,68,,,3.47,3.64,14,3.5,8.1,122
R,L,Jose Urena,,,,,70,,3.82,4.5,11.4,3.1,12.5,105
R,L,Jose Urquidy,93,23,,21,,,4.08,4.1,11.1,3.6,6.9,116
R,L,Josh A. Smith,,34,,,,22,3.93,4.01,11.8,3.5,7.4,119
R,L,Josh James,,,,81,,,3.61,5.27,13.4,3.5,20.5,84
R,L,Josh Lindblom,25,6,20,11,,,4.34,4.55,10.6,3.9,8.4,192
R,L,Josh Staumont,,77,,98,,,3.44,4.35,13.8,3.3,14.3,113
R,L,Josh Tomlin,,86,22,1,,,4.68,4.32,9.4,4.1,3.7,161
R,L,JT Brubaker,,90,,45,26,24,3.77,3.94,11.4,3,8.3,206
R,L,Julian Merryweather,,,,85,,,3.98,4.5,13.3,4.3,10.9,55
R,L,Julio Teheran,10,43,,13,20,,4.65,5.13,8.5,3.7,10.7,148
R,L,Junior Guerra,48,,,53,,,4.09,4.8,11,3.5,12.6,100
R,L,Justin Dunn,,9,,6,,73,4.84,5.88,10,4.7,15.2,197
R,L,Kendall Graveman,,,,,40,,3.91,4.32,9.2,2.4,10.4,77
R,L,Kenley Jansen,,,48,,19,,3.86,4.1,11.2,3.1,8.8,97
R,L,Kenta Maeda,80,,,13,,6,3.73,3.39,12.4,3.3,4,268
R,L,Kevin Gausman,68,,,61,,,3.39,3.36,13.8,3.2,6.5,246
R,L,Kevin Ginkel,,,,61,,20,3.98,4.85,12.6,4,13.9,77
R,L,Keynan Middleton,,,,93,,,3.53,4.09,14.5,3.8,11.3,53
R,L,Kyle Cody,,,,,40,,4.21,5.11,11.7,4.1,14.1,91
R,L,Kyle Finnegan,,,,,78,,4.36,4.56,9.8,3.6,8.4,103
R,L,Kyle Funkhouser,,,,67,53,,3.77,4.58,11.2,3,13.6,81
R,L,Kyle Gibson,52,,,35,9,49,3.98,4.31,10.2,3,9.6,301
R,L,Kyle Hendricks,17,17,,5,0,,5.08,4.54,7,3.9,2.2,315
R,L,Kyle Wright,52,28.999999999999996,,61,40,0,3.72,4.55,11.2,2.8,13.7,167
R,L,Kyle Zimmer,,84,,74,,49,3.92,4.42,11.1,3.2,11,91
R,L,Lance Lynn,,97,73,53,26,,4.41,4.48,10.2,3.8,7.3,343
R,L,Lance McCullers Jr.,37,,,,14.000000000000002,,3.59,3.8,10,2,8.8,229
R,L,Liam Hendriks,,,,82,,,3.59,3.05,14,3.7,2.2,91
R,L,Ljay Newsome,61,,,21,,,4.32,3.7,10.9,4,1.5,68
R,L,Logan Webb,21,,,35,,,3.86,4.16,10.8,2.9,9.3,229
R,L,Lou Trivino,,,,,53,,3.89,4.36,10.4,2.8,10.8,94
R,L,Lucas Giolito,23,,,53,,35,4.02,4.39,12.2,3.9,9.7,311
R,L,Lucas Sims,,80,,65,,,3.18,3.75,14.8,3.2,11.5,104
R,L,Luis Castillo,32,,,85,70,0,3.12,3.26,12.5,2.1,8.2,268
R,L,Luis Cessa,85,,,,,22,3.05,3.12,14.3,2.7,7.5,102
R,L,Luis Garcia,48,,,53,,,3.78,4.19,11.9,3.3,10.2,92
R,L,Luis Garcia,48,,,53,,,3.78,5.11,11.9,3.3,17.8,92
R,L,Luis Patino,23,,,85,,,3.3,4.47,13.7,3,16.5,85
R,L,Luis Perdomo,52,,,,9,59,3.68,4.48,11.1,2.7,13.5,74
R,L,Luke Jackson,,20,,45,,67,3.93,4.31,12.6,3.8,9.8,133
R,L,Luke Weaver,82,,,40,,,3.69,3.8,13.2,3.6,7.6,238
R,L,Marcus Walden,,,94,,,,3.6,4.3,11.2,2.6,12.7,72
R,L,Mark Melancon,61,,73,,,,3.86,3.54,11.1,3.1,4.2,92
R,L,Masahiro Tanaka,68,,,50,,33,3.48,3.16,13.1,3.1,4.1,198
R,L,Matt Andriese,16,,,6,,,3.87,4.1,11.7,3.4,8.7,126
R,L,Matt Barnes,56.99999999999999,,,68,,,4.17,4.91,12.2,4.2,12.7,100
R,L,Matt Foster,12,,,21,,,4.54,4.77,11.8,4.9,8.3,109
R,L,Matt Harvey,,,,19,,,4.3,4.41,9.4,3.3,7.7,65
R,L,Matt Shoemaker,52,,,21,9,,4.07,4.19,11.1,3.5,7.8,125
R,L,Matt Wisler,,,,,,21,3.89,4.66,12,3.5,13.1,107
R,L,Max Scherzer,32,23,48,50,,,3.66,3.76,13.1,3.5,7.5,293
R,L,Merrill Kelly,61,,32,35,,,3.91,3.46,10.1,2.7,3.2,124
R,L,Michael Fulmer,52,,,35,26,35,4.22,4.46,9.4,3.1,8.8,136
R,L,Michael King,11,,,,26,,4.55,4.83,8.6,3.5,9.1,121
R,L,Michael Lorenzen,82,,38,76,,,3.21,3.72,14.9,3.3,10.9,145
R,L,Michael Pineda,45,,,19,,35,4.37,4.33,10.1,3.8,6.3,111
R,L,Michael Wacha,32,,15,45,,,4.44,4.2,11.3,4.4,4.5,156
R,L,Miguel Castro,45,,,,90,,2.76,3.27,13.5,1.8,11.3,115
R,L,Mike Clevinger,12,80,,68,,35,3.37,3.59,14.3,3.4,8.6,165
R,L,Mike Fiers,61,28.999999999999996,,1,7.000000000000001,1,5.18,5.15,9,5,6.2,258
R,L,Mike Mayers,,,43,68,,35,3.74,3.83,13,3.6,7.4,121
R,L,Mitch Keller,,20,,45,,,4.35,6.05,11.1,4.1,20.7,87
R,L,Mychal Givens,19,,,76,,,3.7,4.2,13.5,3.8,10.8,94
R,L,Nate Jones,,,,,67,18,3.85,3.74,12.1,3.5,5.8,85
R,L,Nate Pearson,,,,90,,35,3.47,4.59,14.4,3.7,16,81
R,L,Nathan Eovaldi,61,13,54,93,,,3.69,3.31,13.3,3.7,3.5,199
R,L,Nick Anderson,,,,85,,,3.93,3.75,12.1,3.6,5.2,62
R,L,Nick Nelson,48,,,93,,,3.2,3.85,14.5,3.1,12.2,91
R,L,Nick Pivetta,68,,,21,,,4.71,4.96,11.1,4.9,8.5,71
R,L,Nick Tropeano,23,,,,,,3.76,3.7,13.5,3.9,6.1,66
R,L,Nick Vincent,,,,13,,,5.28,5.3,9.1,5.2,6.5,92
R,L,Nick Wittgren,61,,,21,,,4.23,3.93,11.6,4.1,4.1,95
R,L,Pablo Lopez,45,,48,45,60,,3.81,3.83,10.8,2.8,7.1,240
R,L,Pedro Baez,40,,,81,,,3.87,4.28,13.5,4.1,10,70
R,L,Pete Fairbanks,,,,90,,82,2.98,3.59,14.1,2.5,12,119
R,L,Phil Maton,,50,99,74,,,3.3,3.11,13.7,3,5.2,99
R,L,Phillips Valdez,10,,,,26,,3.97,4.56,10.5,3.1,11.7,133
R,L,Pierce Johnson,,49,,,60,,4.19,4.74,11.5,4,11.2,80
R,L,Rafael Dolis,97,,,,40,,3.49,4.33,11.3,2.4,14,96
R,L,Rafael Montero,48,,,85,,,3.51,3.68,12.3,2.9,8.3,72
R,L,Raisel Iglesias,93,,,68,,,3.11,2.82,15.1,3.2,4.4,84
R,L,Randy Dobnak,8,,,,38,33,4.15,4.1,9.4,2.9,6.5,200
R,L,Reynaldo Lopez,15,,,74,,18,4.17,4.86,11.7,4,12.4,121
R,L,Richard Rodriguez,,,,17,,49,4.5,4.37,11.2,4.5,5.4,92
R,L,Rick Porcello,25,,,35,7.000000000000001,3,4.85,4.74,8.1,3.9,5.7,263
R,L,Riley Smith,,,,,9,,4.46,4.49,8.3,3.2,7.1,70
R,L,Robert Dugger,,,,28.999999999999996,,,4.19,4.04,11.4,3.9,5.4,56
R,L,Robert Gsellman,,,,,24,,4.53,5.09,10.5,4.2,11.3,71
R,L,Robert Stock,,,,68,,,3.58,4.7,13.1,3.3,16.1,62
R,L,Rony Garcia,21,,,45,,,4.26,4.59,10.9,3.9,9.4,96
R,L,Ross Stripling,68,,,19,,,4.3,4.49,11.1,4,8.2,218
R,L,Rowan Wick,98,,,74,,,3.5,3.51,13.9,3.5,6.8,73
R,L,Ryan Brasier,,,,93,,,3.23,3.51,14.5,3.2,9.1,110
R,L,Ryan Castellani,25,80,,13,,,4.23,5.09,11.2,3.9,13.8,189
R,L,Ryan Pressly,,77,,67,,96,2.54,2.5,15.9,2.3,6.6,90
R,L,Ryan Tepera,,,61,,40,,3.79,4.59,11.2,3,13.5,89
R,L,Ryan Thompson,,,,,38,,4.2,4.22,9.4,3.1,7,114
R,L,Ryan Weber,10,23,31,,13,,4.59,4.68,7.4,3,7.6,185
R,L,Ryne Harper,,,,19,,27,4.66,4.62,8.4,3.7,6.4,108
R,L,Sam Coonrod,,,,92,,,3.11,3.46,13.2,2.4,9.9,71
R,L,Sandy Alcantara,32,28.999999999999996,,90,79,9,3.76,3.98,11.3,2.9,8.7,174
R,L,Scott Barlow,,45,,68,,67,3.06,2.9,14.1,2.7,5.6,123
R,L,Sergio Romo,,,,,,11,4.13,4.26,9.5,3,8,87
R,L,Seth Elledge,,,,,36,,4.18,5.22,9.9,3.2,15.4,52
R,L,Seth Lugo,61,74,,53,14.000000000000002,,3.86,3.72,11.6,3.3,5.6,135
R,L,Shane Bieber,95,,48,68,,,2.96,3,15.7,3.1,7.1,323
R,L,Shane Greene,52,,57.99999999999999,,20,,4.1,4.16,9.5,2.9,7.3,108
R,L,Shaun Anderson,,,,,,77,2.79,4.11,14.8,2.4,17.9,68
R,L,Shun Yamaguchi,32,,,9,,,4.29,5.22,12,4.4,14.2,120
R,L,Sixto Sanchez,45,,,85,70,,3.65,3.6,12.5,3.3,6.3,159
R,L,Sonny Gray,,85,,59,9,,3.7,4.21,11.5,2.9,11.1,236
R,L,Spencer Howard,5,,,28.999999999999996,,,4.75,5.02,10.1,4.6,8.8,113
R,L,Spencer Turnbull,25,,,74,60,82,3.87,4.43,9.9,2.6,11.6,241
R,L,Stefan Crichton,,64,,,26,,4.66,4.4,7.7,3.3,4.6,105
R,L,Steve Cishek,,,,,53,49,4.16,4.51,10.7,3.5,9.7,93
R,L,Taijuan Walker,52,8,12,45,,,4.62,4.84,10.5,4.4,8.4,225
R,L,Tanner Houck,,,,44,,,4.02,4.91,10,2.9,14.3,63
R,L,Tanner Rainey,,,,61,,,3.03,3.19,15.9,3.4,8,74
R,L,Tanner Roark,25,56.00000000000001,,27,6,,4.69,5.16,9.5,4.2,10.5,220
R,L,Taylor Clarke,56.99999999999999,,,45,,,3.88,4.34,12.8,3.9,10.4,181
R,L,Taylor Widener,45,,,50,,,3.33,4.03,14.7,3.5,12.5,86
R,L,Taylor Williams,,,,61,,12,3.89,4.19,14.3,4.5,9,66
R,L,Tejay Antone,,27,,,24,7.000000000000001,3.98,4.53,11.8,3.6,11.3,142
R,L,Thomas Eshelman,7.000000000000001,43,,8,,,5.27,5.32,8.2,4.8,6.9,145
R,L,Tommy Hunter,,69,43,,26,,4.29,4.19,9.8,3.4,5.9,102
R,L,Tony Gonsolin,90,,,28.999999999999996,,,3.18,2.85,14.4,3,4,176
R,L,Touki Toussaint,21,13,,81,,,3.98,4.77,11.2,3.4,13.3,120
R,L,Trevor Bauer,78,,94,44,52,,3.37,3.26,15.1,3.7,5.8,277
R,L,Trevor Cahill,37,,,,,,4.2,4.88,10.6,3.6,12.4,107
R,L,Trevor Gott,,,,82,,,3.59,4.47,14.1,3.8,14,57
R,L,Trevor May,11,,,98,,62,2.84,2.89,15.5,2.8,7.3,99
R,L,Trevor Richards,68,,,21,,,4.38,4.47,11.3,4.3,7.3,150
R,L,Trevor Rosenthal,,,,90,,,3.08,3.32,14.8,3,8.8,91
R,L,Trevor Williams,37,45,,51,,92,3.91,4.09,11.1,3.2,8.3,252
R,L,Triston McKenzie,1,7.000000000000001,,45,,,4.48,4.55,11.7,4.7,7.1,128
R,L,Ty Buttrey,93,,,35,,,4.47,4.33,11.2,4.4,5.4,109
R,L,Tyler Chatwood,,,86,,53,,3.61,4.04,11.2,2.6,10.5,86
R,L,Tyler Clippard,0,,,,40,,5.16,4.91,11.4,6,4.1,98
R,L,Tyler Duffey,92,,,59,,,4.17,4.13,10.2,3.4,6.5,95
R,L,Tyler Glasnow,,94,,85,,,3.02,3.3,14.4,2.7,9.2,236
R,L,Tyler Kinley,,,,51,,70,3.28,3.98,14.7,3.4,12.5,96
R,L,Tyler Mahle,32,,,65,,24,3.69,4.15,14.2,4,10.4,201
R,L,Tyler Rogers,,63,,19,,,5.78,5.6,6.6,5.2,4.9,123
R,L,Tyler Zuber,,,,61,,59,3.37,4.86,13.5,3.1,19.2,98
R,L,Vince Velasquez,68,,,61,,,3.68,4.12,13.2,3.6,10.4,153
R,L,Walker Buehler,99,,,90,,,2.67,2.74,15.8,2.6,7.5,147
R,L,Will Harris,,,68,,,,3.3,3.76,13.2,2.8,10.7,84
R,L,Wilmer Font,,,,74,,,4.76,5.25,9.5,4.3,10.6,81
R,L,Yency Almonte,,,,59,,43,3.72,3.54,12.4,3.4,5.3,113
R,L,Yimi Garcia,,,,81,,,3.2,3.37,14,2.9,8.3,60
R,L,Yohan Ramirez,,,,65,,43,3.42,5.05,14.6,3.6,20.2,92
R,L,Yonny Chirinos,,,,,26,,3.93,4.03,10.5,3,7.7,52
R,L,Yoshihisa Hirano,82,,,4,,,3.77,4.5,13.1,3.7,12.7,63
R,L,Yu Darvish,19,,78,82,53,18,3.49,3.21,13.6,3.4,4.4,296
R,L,Yusmeiro Petit,1,,,2,,,5.35,5.26,8.2,5,5.7,92
R,L,Zac Gallen,40,,54,21,,,3.92,4.16,12.5,3.8,8.6,291
R,L,Zach Davies,45,,1,,20,,4.78,4.82,9.4,4.3,6.9,275
R,L,Zach Eflin,17,28.999999999999996,,61,26,2,3.99,3.88,9.3,2.6,6.1,245
R,L,Zach Plesac,61,34,,35,,,4.04,3.59,11.8,3.8,2.9,207
R,L,Zack Godley,52,,27,,,,4.19,4.54,8.7,2.8,9.8,143
R,L,Zack Greinke,80,17,,10,,,4.39,3.97,9.2,3.4,3.3,286
R,L,Zack Wheeler,32,85,,81,,57.99999999999999,3.38,3.14,12.5,2.6,4.9,286
R,R,A.J. Cole,,,,28.999999999999996,,70,4.33,4.45,13.2,5,7.4,96
R,R,Aaron Civale,,87,70,,9,50,3.97,3.76,10.5,3.1,5.1,313
R,R,Aaron Nola,87,,,35,26,,3.55,3.6,12,2.8,7.3,287
R,R,Aaron Slegers,,,,,85,12,4.43,3.98,9.6,3.7,3,99
R,R,Adam Cimber,,,,,2,3,5.29,5.02,9.8,5.6,4.1,54
R,R,Adam Ottavino,,,,,70,43,4.21,4.67,10.5,3.6,10.6,85
R,R,Adam Plutko,,,,40,,35,4.48,4.41,10.6,4.2,6,116
R,R,Adam Wainwright,,74,73,,1,,4.65,4.52,8.5,3.6,5.7,262
R,R,Adbert Alzolay,,,,21,79,82,3.86,4.83,11.2,3.1,14.9,87
R,R,Adrian Houser,,,,,79,50,4.05,4.24,8.9,2.6,8.5,249
R,R,Alec Mills,74,,,2,40,59,4.88,4.97,7.6,3.7,7.5,254
R,R,Alex Cobb,56.99999999999999,,,,20,,3.8,3.92,10.2,2.6,8,226
R,R,Alex Colome,,,92,28.999999999999996,,,3.05,3.29,13.7,2.5,8.9,93
R,R,Alex Reyes,,,,92,,96,2.88,3.87,15.2,2.7,15.1,86
R,R,Anibal Sanchez,35,,48,4,1,,4.07,4.03,10.3,3.2,6.5,244
R,R,Anthony Bass,,,,,20,96,3.72,3.72,10.7,2.6,7,98
R,R,Anthony DeSclafani,,,,,70,62,3.53,3.93,12.6,3,10.1,161
R,R,Antonio Senzatela,,34,,35,,50,4.1,3.99,9.8,3,5.9,303
R,R,Archie Bradley,,,,13,,,4.71,4.41,9.7,4.3,4.1,72
R,R,Asher Wojciechowski,,80,,27,,15,4.31,4.59,10.9,4,8.9,167
R,R,Austin Brice,,9,,53,70,,4.39,5.36,8.9,3.3,14.9,88
R,R,Austin Voth,,59,2,28.999999999999996,,,5.05,5.13,9.3,4.9,7.1,223
R,R,Blake Parker,7.000000000000001,,,4,,,4.3,4.71,10.8,3.9,10.1,67
R,R,Blake Treinen,,,,,92,89,3.5,3.44,10.5,2,6.5,107
R,R,Brad Boxberger,35,,,68,,50,3.84,4.25,12.3,3.6,10.1,79
R,R,Brad Brach,,,5,,,,4.81,7.09,10.2,4.7,25.4,59
R,R,Brad Keller,,,,45,53,50,3.98,4.1,9.2,2.5,7.9,215
R,R,Brady Lail,,,,9,,,4.69,5.1,10.4,4.5,9.9,71
R,R,Brady Singer,,,,,40,62,3.89,4.1,9.8,2.6,8.7,263
R,R,Brandon Bielak,,,38,21,,5,4.35,4.93,10.6,3.9,11.5,148
R,R,Brandon Kintzler,,,,,26,,4.73,4.85,6.6,3,7.9,97
R,R,Brandon Woodruff,,,,82,85,88,3.28,3.18,12.8,2.6,6.1,291
R,R,Brandon Workman,84,,34,17,,,4.11,4.63,12,4,10.9,99
R,R,Brusdar Graterol,,,,,92,77,3.36,2.92,10.6,1.8,3.4,88
R,R,Bryan Garcia,,,,,40,50,3.98,4.45,10.2,2.9,10.8,90
R,R,Bryse Wilson,,,,56.99999999999999,79,43,3.94,4.61,11.6,3.5,12.3,73
R,R,Buck Farmer,,,,4,,,3.79,3.65,12.1,3.4,5.6,84
R,R,Cal Quantrill,,,,,79,70,3.83,3.63,11,3,5.2,133
R,R,Cam Bedrosian,,,,27,,20,4.36,4.81,10.9,4.1,10.3,59
R,R,Cam Hill,,,,28.999999999999996,,7.000000000000001,4.84,4.72,9.7,4.6,5.6,80
R,R,Carlos Carrasco,82,,,45,,62,3.16,3.49,14,2.8,9.6,280
R,R,Carlos Estevez,,,,68,,40,3.94,4.08,12.8,4,7.8,116
R,R,Carlos Hernandez,,14.000000000000002,,,40,,4.09,4.36,11.3,3.7,9,67
R,R,Carlos Martinez,,,,45,,35,3.68,3.77,10.8,2.6,7.7,102
R,R,Casey Mize,93,,,21,70,24,3.78,4.14,11.6,3.1,9.8,132
