p_throws,player_name,CH,CU,FC,FF,SI,SL,FIP_based_on_stuff,Predicted_FIP,exp_whiff_pct,exp_homerun_pct,uBB_perc,PA
R,Geoff Hartlieb,,,,,65,23,3.78,5.2,10.1,2.5,18.8,101
R,German Marquez,22,,,46,51,16,3.97,4.02,10.4,3,7.3,343
R,Gerrit Cole,55.00000000000001,,,89,,92,2.85,2.74,16.4,3.2,5.9,315
R,Giovanny Gallegos,,,,9,,36,4.17,4.21,11.6,3.9,7,57
R,Greg Holland,,72,,82,,78,3.17,2.98,12.8,2.3,5.4,111
R,Griffin Canning,32,87,,27,,18,3.95,4.33,13.1,4.2,9.7,238
R,Hansel Robles,94,,,76,,,3.15,3.84,15,3.2,12.5,80
R,Heath Hembree,,,,66,,84,3.44,3.7,14,3.4,8.9,90
R,Hector Neris,98,,,32,,,3.45,3.92,13.5,3.2,10.7,101
R,Hector Rondon,,,,53,,90,3.63,3.93,12.3,3.1,9.3,95
R,Huascar Ynoa,,,,17,,39,4.39,5.05,11.5,4.4,12,99
R,Humberto Castellanos,,0,,10,,,5.12,5.51,8.4,4.6,9.8,51
R,Ian Anderson,45,37,,38,,,4.06,4.48,12,3.9,10.1,137
R,Ian Gibaut,,,,59,,2,4.22,5.27,11.8,4.1,15.3,58
R,Ian Kennedy,,,12,64,,,4.11,4.01,11.9,4,5.8,68
R,Ivan Nova,,,,,24,,4.63,5.03,6.8,2.9,10.2,67
R,J.B. Wendelken,,,,68,,51,3.9,4.34,11.6,3.4,10.4,115
R,Jack Flaherty,,23,,56.00000000000001,67,61,3.93,4.25,11.5,3.4,9.4,170
R,Jacob Barnes,,,88,81,,,3.4,3.21,14.1,3.4,5.1,78
R,Jacob deGrom,86,,,100,,98,2.15,2.13,18.9,2.8,6.7,269
R,Jacob Waguespack,59,,94,36,,,4.4,4.8,10.3,3.9,10,90
R,Jaime Barria,4,,,28.000000000000004,,5,4.9,4.86,10.4,5,6.1,131
R,Jairo Diaz,,,,56.99999999999999,46,62,3.8,4.46,11.2,3,12.3,105
R,Jake Arrieta,33,,,,35,15,4.12,4.3,9,2.7,8.4,188
R,Jake Newberry,,,,38,,75,3.44,4.15,12.4,2.7,12.8,94
R,Jake Odorizzi,,,,24,,43,3.87,3.66,12.2,3.5,5,60
R,Jake Woodford,,31,,54,,33,4.32,4.22,9.8,3.5,5.9,85
R,Jakob Junis,,,,21,,40,4.31,4.01,8.9,3.1,4.4,113
R,James Hoyt,,,,,,19,4.1,4.65,11.4,3.7,11.3,61
R,James Karinchak,,60,,81,,,3.74,4.59,12.5,3.4,13.8,109
R,Jared Hughes,2,32,,,82,,4.41,4.91,8.2,3,11,107
R,Jason Adam,,41,,91,,,3.5,4.36,13.9,3.5,13.8,58
R,Javy Guerra,,,,11,92,72,4.2,4.59,9.8,3.3,10,137
R,Javy Guerra,,,,11,92,72,4.2,4.28,9.8,3.3,7.5,137
R,Jeff Hoffman,76,16,,28.999999999999996,,,4.31,4.44,10.6,3.8,7.7,103
R,Jeff Samardzija,3,,,,,,6.56,6.48,9,8,5.2,77
R,Jeremy Jeffress,67,,,,57.99999999999999,,3.87,4.54,10.4,2.8,12.5,87
R,Jesse Chavez,,,7.000000000000001,,22,,4.86,5.15,7.7,3.8,9.1,76
R,Jesse Hahn,,16,,,50,,4.32,4.97,8.7,3,12.3,65
R,Jeurys Familia,82,,,,95,36,3.42,4.28,11.1,2.2,14.2,118
R,Jimmy Cordero,16,,,,89,72,3.87,3.7,9.6,2.5,5.6,122
R,Jimmy Herget,,,,14.000000000000002,,43,4.65,5.64,9.8,4.2,14.9,83
R,Joakim Soria,,,,28.999999999999996,,63,4.48,4.57,10.7,4.2,7.3,97
R,Joe Jimenez,,,,37,,12,4.45,4.38,11.9,4.7,5.9,97
R,Joe Musgrove,48,57.99999999999999,,28.000000000000004,11,83,3.82,4.15,10.6,2.8,9.6,167
R,Joey Gerber,,,,,21,2,4.65,4.84,10.8,4.6,8.1,62
R,Johan Oviedo,,,,66,,23,4,4.24,10.2,3,8.9,112
R,John Curtiss,,,,42,,13,4.21,3.77,11.5,4,3,88
R,John Gant,,,,,26,,4.38,4.95,9.6,3.6,11.5,61
R,John Schreiber,,26,,47,,,4.79,4.51,8.6,4,4.3,69
R,Johnny Cueto,33,28.999999999999996,,24,37,6,4.14,4.46,11.1,3.7,9.4,276
R,Jon Gray,2,,,34,,57.99999999999999,4.29,4.24,10.6,3.8,6.3,174
R,Jonathan Hernandez,24,,,,84,74,3.31,3.25,12.6,2.5,6.4,118
R,Jonathan Holder,77,,,61,,,3.81,4.18,11.6,3.2,9.9,100
R,Jonathan Loaisiga,24,80,,89,90,,3.57,3.47,12.4,3,6,99
R,Jordan Lyles,12,45,,17,,33,4.5,4.73,10.2,4,8.6,268
R,Jordan Romano,,,,92,,59,2.85,3.09,16,3,8.8,51
R,Jordan Weems,,,,50,,,3.8,4.45,12.6,3.6,12.1,58
R,Jordan Yamamoto,,,,14.000000000000002,,63,4.54,4.99,9.8,4,10.4,67
R,Jorge Alcala,,,,57.99999999999999,,17,3.73,3.95,13.5,3.8,8.5,94
R,Jorge Lopez,46,,,18,56.00000000000001,,4.35,4.29,9.4,3.4,6.3,175
R,Jose Berrios,32,21,,36,73,,4.18,4.53,10.8,3.6,9.6,272
R,Jose Cisnero,77,,,75,,87,3.47,3.64,14,3.5,8.1,122
R,Jose Urena,,,,31,98,64,3.82,4.5,11.4,3.1,12.5,105
R,Jose Urquidy,96,23,,13,,69,4.08,4.1,11.1,3.6,6.9,116
R,Josh A. Smith,,68,,32,,24,3.93,4.01,11.8,3.5,7.4,119
R,Josh James,,,,73,,94,3.61,5.27,13.4,3.5,20.5,84
R,Josh Lindblom,24,6,21,20,,33,4.34,4.55,10.6,3.9,8.4,192
R,Josh Staumont,,59,,97,,,3.44,4.35,13.8,3.3,14.3,113
R,Josh Tomlin,,73,20,1,,,4.68,4.32,9.4,4.1,3.7,161
R,JT Brubaker,,89,,51,56.99999999999999,56.99999999999999,3.77,3.94,11.4,3,8.3,206
R,Julian Merryweather,,,,84,,,3.98,4.5,13.3,4.3,10.9,55
R,Julio Teheran,8,48,,22,15,8,4.65,5.13,8.5,3.7,10.7,148
R,Junior Guerra,51,75,,67,37,,4.09,4.8,11,3.5,12.6,100
R,Justin Dunn,,20,,6,,71,4.84,5.88,10,4.7,15.2,197
R,Kendall Graveman,,,,,66,,3.91,4.32,9.2,2.4,10.4,77
R,Kenley Jansen,,,78,,7.000000000000001,,3.86,4.1,11.2,3.1,8.8,97
R,Kenta Maeda,84,,,12,37,13,3.73,3.39,12.4,3.3,4,268
R,Kevin Gausman,93,,,49,,28.000000000000004,3.39,3.36,13.8,3.2,6.5,246
R,Kevin Ginkel,,,,49,,31,3.98,4.85,12.6,4,13.9,77
R,Keynan Middleton,,,,88,,,3.53,4.09,14.5,3.8,11.3,53
R,Kyle Cody,,,,4,37,47,4.21,5.11,11.7,4.1,14.1,91
R,Kyle Finnegan,,,,,63,24,4.36,4.56,9.8,3.6,8.4,103
R,Kyle Funkhouser,,,,69,85,79,3.77,4.58,11.2,3,13.6,81
R,Kyle Gibson,66,37,,23,26,61,3.98,4.31,10.2,3,9.6,301
R,Kyle Hendricks,15,35,,5,1,,5.08,4.54,7,3.9,2.2,315
R,Kyle Wright,59,61,,64,72,17,3.72,4.55,11.2,2.8,13.7,167
R,Kyle Zimmer,,87,,78,,22,3.92,4.42,11.1,3.2,11,91
R,Lance Lynn,,92,15,63,84,,4.41,4.48,10.2,3.8,7.3,343
R,Lance McCullers Jr.,57.99999999999999,,,,51,,3.59,3.8,10,2,8.8,229
R,Liam Hendriks,,,,82,,82,3.59,3.05,14,3.7,2.2,91
R,Ljay Newsome,69,13,,20,,,4.32,3.7,10.9,4,1.5,68
R,Logan Webb,56.99999999999999,,,30,75,64,3.86,4.16,10.8,2.9,9.3,229
R,Lou Trivino,,,79,14.000000000000002,85,,3.89,4.36,10.4,2.8,10.8,94
R,Lucas Giolito,23,,,45,,36,4.02,4.39,12.2,3.9,9.7,311
R,Lucas Sims,,82,,91,,93,3.18,3.75,14.8,3.2,11.5,104
R,Luis Castillo,66,,,85,92,21,3.12,3.26,12.5,2.1,8.2,268
R,Luis Cessa,90,,,,,60,3.05,3.12,14.3,2.7,7.5,102
R,Luis Garcia,51,,,45,,51,3.78,4.19,11.9,3.3,10.2,92
R,Luis Garcia,51,,,45,,51,3.78,5.11,11.9,3.3,17.8,92
R,Luis Patino,22,,,94,,97,3.3,4.47,13.7,3,16.5,85
R,Luis Perdomo,59,,,,31,71,3.68,4.48,11.1,2.7,13.5,74
R,Luke Jackson,,30,,26,,68,3.93,4.31,12.6,3.8,9.8,133
R,Luke Weaver,81,,56.99999999999999,60,,,3.69,3.8,13.2,3.6,7.6,238
R,Marcus Walden,,,85,,53,24,3.6,4.3,11.2,2.6,12.7,72
R,Mark Melancon,14.000000000000002,,34,,,,3.86,3.54,11.1,3.1,4.2,92
R,Masahiro Tanaka,76,,,56.00000000000001,9,46,3.48,3.16,13.1,3.1,4.1,198
R,Matt Andriese,75,,,16,,,3.87,4.1,11.7,3.4,8.7,126
R,Matt Barnes,19,,,48,,,4.17,4.91,12.2,4.2,12.7,100
R,Matt Foster,16,,,27,,,4.54,4.77,11.8,4.9,8.3,109
R,Matt Harvey,,,,13,,,4.3,4.41,9.4,3.3,7.7,65
R,Matt Shoemaker,47,,,24,20,19,4.07,4.19,11.1,3.5,7.8,125
R,Matt Wisler,,,,2,,31,3.89,4.66,12,3.5,13.1,107
R,Max Scherzer,56.00000000000001,23,53,61,,64,3.66,3.76,13.1,3.5,7.5,293
R,Merrill Kelly,69,85,26,35,75,,3.91,3.46,10.1,2.7,3.2,124
R,Michael Fulmer,59,,,35,44,57.99999999999999,4.22,4.46,9.4,3.1,8.8,136
R,Michael King,9,26,,,59,,4.55,4.83,8.6,3.5,9.1,121
R,Michael Lorenzen,86,,27,79,,97,3.21,3.72,14.9,3.3,10.9,145
R,Michael Pineda,48,,,5,,28.999999999999996,4.37,4.33,10.1,3.8,6.3,111
R,Michael Wacha,31,,50,14.000000000000002,,,4.44,4.2,11.3,4.4,4.5,156
R,Miguel Castro,50,,,,98,97,2.76,3.27,13.5,1.8,11.3,115
R,Mike Clevinger,10,85,,71,,67,3.37,3.59,14.3,3.4,8.6,165
R,Mike Fiers,69,15,,1,0,1,5.18,5.15,9,5,6.2,258
R,Mike Mayers,,,33,61,,62,3.74,3.83,13,3.6,7.4,121
R,Mike Soroka,,,,,67,,4.49,5.15,8.7,3.4,12.3,57
R,Mitch Keller,,16,,38,,84,4.35,6.05,11.1,4.1,20.7,87
R,Mychal Givens,17,,,93,,84,3.7,4.2,13.5,3.8,10.8,94
R,Nate Jones,,,,,35,28.999999999999996,3.85,3.74,12.1,3.5,5.8,85
R,Nate Pearson,,,,91,,69,3.47,4.59,14.4,3.7,16,81
R,Nathan Eovaldi,69,12,56.99999999999999,89,,,3.69,3.31,13.3,3.7,3.5,199
R,Nick Anderson,,41,,70,,,3.93,3.75,12.1,3.6,5.2,62
R,Nick Goody,,,,11,,24,4.22,5.18,12.4,4.4,14.5,55
R,Nick Nelson,51,,,84,,99,3.2,3.85,14.5,3.1,12.2,91
R,Nick Pivetta,77,,,9,,,4.71,4.96,11.1,4.9,8.5,71
R,Nick Tropeano,56.00000000000001,,,1,,72,3.76,3.7,13.5,3.9,6.1,66
R,Nick Vincent,,,5,28.000000000000004,,,5.28,5.3,9.1,5.2,6.5,92
R,Nick Wittgren,73,,,21,,51,4.23,3.93,11.6,4.1,4.1,95
R,Noe Ramirez,86,37,,14.000000000000002,,,4.11,4.29,11.5,3.8,8.2,84
R,Pablo Lopez,68,,53,51,88,,3.81,3.83,10.8,2.8,7.1,240
R,Pedro Baez,41,,,69,,8,3.87,4.28,13.5,4.1,10,70
R,Pete Fairbanks,,,,88,,92,2.98,3.59,14.1,2.5,12,119
R,Phil Maton,,56.00000000000001,98,88,,,3.3,3.11,13.7,3,5.2,99
R,Phillips Valdez,47,,,,45,,3.97,4.56,10.5,3.1,11.7,133
R,Pierce Johnson,,68,,,14.000000000000002,,4.19,4.74,11.5,4,11.2,80
R,Rafael Dolis,98,,,,61,94,3.49,4.33,11.3,2.4,14,96
R,Rafael Montero,51,,,87,86,,3.51,3.68,12.3,2.9,8.3,72
R,Raisel Iglesias,96,,,75,,56.99999999999999,3.11,2.82,15.1,3.2,4.4,84
R,Randy Dobnak,7.000000000000001,,,,71,28.999999999999996,4.15,4.1,9.4,2.9,6.5,200
R,Reynaldo Lopez,12,,,60,,10,4.17,4.86,11.7,4,12.4,121
R,Richard Rodriguez,,,,16,,61,4.5,4.37,11.2,4.5,5.4,92
R,Rick Porcello,27,,,22,7.000000000000001,7.000000000000001,4.85,4.74,8.1,3.9,5.7,263
R,Riley Smith,,,,,19,19,4.46,4.49,8.3,3.2,7.1,70
R,Robert Dugger,,,,42,,51,4.19,4.04,11.4,3.9,5.4,56
R,Robert Gsellman,,,,,30,24,4.53,5.09,10.5,4.2,11.3,71
R,Robert Stock,,,,68,,99,3.58,4.7,13.1,3.3,16.1,62
R,Rony Garcia,20,,,57.99999999999999,,43,4.26,4.59,10.9,3.9,9.4,96
R,Ross Stripling,37,,,9,,33,4.3,4.49,11.1,4,8.2,218
R,Rowan Wick,99,,,86,,,3.5,3.51,13.9,3.5,6.8,73
R,Ryan Brasier,,,,89,,90,3.23,3.51,14.5,3.2,9.1,110
R,Ryan Castellani,28.000000000000004,71,,25,,76,4.23,5.09,11.2,3.9,13.8,189
R,Ryan Helsley,,,71,95,,,3.06,3.88,15.7,3.4,13.5,51
R,Ryan Pressly,,80,,84,,93,2.54,2.5,15.9,2.3,6.6,90
R,Ryan Tepera,,,67,,48,,3.79,4.59,11.2,3,13.5,89
R,Ryan Thompson,,,,,88,11,4.2,4.22,9.4,3.1,7,114
R,Ryan Weber,20,47,30,,15,,4.59,4.68,7.4,3,7.6,185
R,Ryne Harper,,,,5,,16,4.66,4.62,8.4,3.7,6.4,108
R,Sam Coonrod,,,,93,94,,3.11,3.46,13.2,2.4,9.9,71
R,Sandy Alcantara,33,30,,83,97,56.99999999999999,3.76,3.98,11.3,2.9,8.7,174
R,Scott Barlow,,51,,74,,82,3.06,2.9,14.1,2.7,5.6,123
R,Sergio Romo,,,,,,39,4.13,4.26,9.5,3,8,87
R,Seth Elledge,,,,,8,94,4.18,5.22,9.9,3.2,15.4,52
R,Seth Lugo,69,77,,62,21,51,3.86,3.72,11.6,3.3,5.6,135
R,Shane Bieber,89,,37,67,,79,2.96,3,15.7,3.1,7.1,323
R,Shane Greene,59,,63,,19,33,4.1,4.16,9.5,2.9,7.3,108
R,Shaun Anderson,,,,95,,78,2.79,4.11,14.8,2.4,17.9,68
R,Shawn Armstrong,,,65,71,,,3.59,3.41,12.6,3.2,5.3,57
R,Shun Yamaguchi,47,,,7.000000000000001,,2,4.29,5.22,12,4.4,14.2,120
R,Sixto Sanchez,63,,,85,93,24,3.65,3.6,12.5,3.3,6.3,159
R,Sonny Gray,,90,,68,23,96,3.7,4.21,11.5,2.9,11.1,236
R,Spencer Howard,5,,,28.000000000000004,,43,4.75,5.02,10.1,4.6,8.8,113
R,Spencer Turnbull,24,,,81,80,84,3.87,4.43,9.9,2.6,11.6,241
R,Stefan Crichton,,36,,,53,,4.66,4.4,7.7,3.3,4.6,105
R,Steve Cishek,,,,,36,21,4.16,4.51,10.7,3.5,9.7,93
R,Taijuan Walker,23,22,23,26,37,,4.62,4.84,10.5,4.4,8.4,225
R,Tanner Houck,,,,51,96,69,4.02,4.91,10,2.9,14.3,63
R,Tanner Rainey,,,,75,,99,3.03,3.19,15.9,3.4,8,74
R,Tanner Roark,27,62,,21,3,24,4.69,5.16,9.5,4.2,10.5,220
R,Taylor Clarke,64,,,38,,51,3.88,4.34,12.8,3.9,10.4,181
R,Taylor Widener,48,,,80,,79,3.33,4.03,14.7,3.5,12.5,86
R,Taylor Williams,,,,76,,14.000000000000002,3.89,4.19,14.3,4.5,9,66
R,Tejay Antone,,26,,,16,39,3.98,4.53,11.8,3.6,11.3,142
R,Thomas Eshelman,6,49,,3,0,4,5.27,5.32,8.2,4.8,6.9,145
R,Tommy Hunter,,92,48,,18,,4.29,4.19,9.8,3.4,5.9,102
R,Tony Gonsolin,88,,,46,,94,3.18,2.85,14.4,3,4,176
R,Touki Toussaint,20,43,,73,,,3.98,4.77,11.2,3.4,13.3,120
R,Trevor Bauer,92,,60,67,43,76,3.37,3.26,15.1,3.7,5.8,277
R,Trevor Cahill,38,,,,26,,4.2,4.88,10.6,3.6,12.4,107
R,Trevor Gott,,,,92,,,3.59,4.47,14.1,3.8,14,57
R,Trevor May,8,,,96,,82,2.84,2.89,15.5,2.8,7.3,99
R,Trevor Richards,80,37,,7.000000000000001,,,4.38,4.47,11.3,4.3,7.3,150
R,Trevor Rosenthal,,,,95,,79,3.08,3.32,14.8,3,8.8,91
R,Trevor Williams,39,51,,55.00000000000001,28.999999999999996,89,3.91,4.09,11.1,3.2,8.3,252
R,Triston McKenzie,1,7.000000000000001,,46,,69,4.48,4.55,11.7,4.7,7.1,128
R,Ty Buttrey,96,,,19,,36,4.47,4.33,11.2,4.4,5.4,109
R,Tyler Chatwood,,,86,,46,,3.61,4.04,11.2,2.6,10.5,86
R,Tyler Clippard,5,,,26,37,,5.16,4.91,11.4,6,4.1,98
R,Tyler Duffey,93,,,23,,,4.17,4.13,10.2,3.4,6.5,95
R,Tyler Glasnow,,95,,94,,,3.02,3.3,14.4,2.7,9.2,236
R,Tyler Kinley,,,,39,,78,3.28,3.98,14.7,3.4,12.5,96
R,Tyler Mahle,33,,,55.00000000000001,,73,3.69,4.15,14.2,4,10.4,201
R,Tyler Rogers,,4,,52,,,5.78,5.6,6.6,5.2,4.9,123
R,Tyler Zuber,,,,69,,73,3.37,4.86,13.5,3.1,19.2,98
R,Vince Velasquez,15,,,76,,51,3.68,4.12,13.2,3.6,10.4,153
R,Walker Buehler,100,,100,97,,,2.67,2.74,15.8,2.6,7.5,147
R,Walker Lockett,,26,,,90,,4.14,3.98,9.9,3.1,5.5,73
R,Will Harris,,99,74,,,,3.3,3.76,13.2,2.8,10.7,84
R,Wilmer Font,,,,44,,51,4.76,5.25,9.5,4.3,10.6,81
R,Yency Almonte,,,,49,,62,3.72,3.54,12.4,3.4,5.3,113
R,Yimi Garcia,,,,96,,51,3.2,3.37,14,2.9,8.3,60
R,Yohan Ramirez,,,,77,,49,3.42,5.05,14.6,3.6,20.2,92
R,Yonny Chirinos,,,,,48,,3.93,4.03,10.5,3,7.7,52
R,Yoshihisa Hirano,87,,,2,,,3.77,4.5,13.1,3.7,12.7,63
R,Yu Darvish,17,,70,85,53,40,3.49,3.21,13.6,3.4,4.4,296
R,Yusmeiro Petit,0,,28.999999999999996,4,,,5.35,5.26,8.2,5,5.7,92
R,Zac Gallen,41,,40,39,,,3.92,4.16,12.5,3.8,8.6,291
R,Zach Davies,65,,0,,4,,4.78,4.82,9.4,4.3,6.9,275
R,Zach Eflin,16,44,,64,65,17,3.99,3.88,9.3,2.6,6.1,245
R,Zach Plesac,38,37,,14.000000000000002,,51,4.04,3.59,11.8,3.8,2.9,207
R,Zack Godley,19,,44,,,,4.19,4.54,8.7,2.8,9.8,143
R,Zack Greinke,46,34,,6,,33,4.39,3.97,9.2,3.4,3.3,286
R,Zack Wheeler,33,81,,86,96,83,3.38,3.14,12.5,2.6,4.9,286
